1,1,0,0,0,True,6.205314749,True,0.844528375
1,1,0,0,0,True,5.958789729,True,0.68831834
2,2,0,0,0,True,5.535244958000001,True,0.867335678
2,2,0,0,0,True,5.479075285,True,0.78736969
3,3,0,0,0,True,5.414362807000001,True,1.0971065
3,3,0,0,0,True,5.463585382000001,True,1.080422116
4,0,3,1,0,True,9.923265326000001,True,41.878239529000005
4,0,4,0,0,True,9.222353772,True,10.944491207
5,2,0,1,2,True,10.859403767,True,21.061031247000003
5,0,4,1,0,True,11.708157206000001,True,35.428637263
6,5,0,0,1,True,12.436792957000002,True,15.475390826000002
6,5,1,0,0,True,11.250793595000001,True,9.960573343
7,4,2,0,1,True,11.34279268,False,60
7,7,0,0,0,True,5.933878335,True,5.325616506
8,7,0,0,1,True,10.047241872,True,12.525527456
8,2,4,1,1,False,60,True,60.706859958
9,8,0,0,1,True,10.020287374,True,25.431296113000002
9,1,1,6,1,False,60,False,60
10,0,9,1,0,True,11.926450793,False,60
10,9,1,0,0,True,11.157286164,True,45.861449948
